team_name,team_seed,region,vegas_r1,vegas_r2,vegas_r3,vegas_r4,vegas_r5,vegas_r6,vegas_r1_raw,vegas_r2_raw,vegas_r3_raw,vegas_r4_raw,vegas_r5_raw,vegas_r6_raw,public_r1,public_r2,public_r3,public_r4,public_r5,public_r6,near_zero_flag,first_four_flag,e8_game_implied,e8_game_corrected,vegas_r4_original,vegas_r4_adjusted,vegas_r4_adjusted_alt,path_dependent_flag
Saint Mary's,7,South,0.5934,0.247574,0.162591,0.023599,0.010798,0.002961,0.5934,0.2857,0.2174,0.0278,0.0132,0.0033,0.59,0.192,0.075,0.024,0.008,0.001,N,N,,,0.023599,0.023599,0.023599,N
Kentucky,7,Midwest,0.5934,0.2573,0.123778,0.018407,0.008526,0.00319,0.5934,0.2857,0.1538,0.0217,0.011,0.004,0.69,0.241,0.098,0.034,0.012,0.003,N,N,,,0.018407,0.018407,0.018407,N
Miami,7,West,0.5427,0.249661,0.146274,0.016807,0.00672,0.001638,0.5427,0.2857,0.2,0.0196,0.0083,0.002,0.572,0.185,0.071,0.022,0.007,0.001,N,N,,,0.016807,0.016807,0.016807,N
Ohio State,8,East,0.5635,0.116195,0.071355,0.032331,0.01159,0.003052,0.5635,0.125,0.0833,0.0385,0.0164,0.004,0.524,0.152,0.058,0.016,0.005,0.001,N,N,,,0.032331,0.032331,0.032331,N
Georgia,8,Midwest,0.5721,0.150129,0.08048,0.012893,0.003875,0.001595,0.5721,0.1667,0.1,0.0152,0.005,0.002,0.58,0.174,0.065,0.019,0.006,0.001,N,N,,,0.012893,0.012893,0.012893,N
Clemson,8,South,0.4486,0.144454,0.087952,0.012903,0.007363,0.001795,0.4486,0.1667,0.1176,0.0152,0.009,0.002,0.515,0.148,0.055,0.015,0.004,0.001,N,N,,,0.012903,0.012903,0.012903,N
Villanova,8,West,0.4675,0.145672,0.069626,0.011319,0.004453,0.001638,0.4675,0.1667,0.0952,0.0132,0.0055,0.002,0.531,0.161,0.062,0.018,0.006,0.001,N,N,,,0.011319,0.011319,0.011319,N
TCU,9,East,0.4365,0.054658,0.023814,0.006382,0.001979,0.001526,0.4365,0.0588,0.0278,0.0076,0.0028,0.002,0.476,0.121,0.042,0.011,0.003,0.0005,N,N,,,0.006382,0.006382,0.006382,N
Saint Louis,9,Midwest,0.4279,0.056287,0.025995,0.00492,0.002558,0.000957,0.4279,0.0625,0.0323,0.0058,0.0033,0.0012,0.42,0.095,0.031,0.008,0.002,0.0004,N,N,,,0.00492,0.00492,0.00492,N
Iowa,9,South,0.5514,0.157539,0.093486,0.018421,0.005808,0.002961,0.5514,0.1818,0.125,0.0217,0.0071,0.0033,0.485,0.128,0.045,0.012,0.003,0.0005,N,N,,,0.018421,0.018421,0.018421,N
Utah State,9,West,0.5325,0.174772,0.066481,0.009432,0.004048,0.001638,0.5325,0.2,0.0909,0.011,0.005,0.002,0.469,0.115,0.038,0.01,0.002,0.0004,N,N,,,0.009432,0.009432,0.009432,N
UCF,10,East,0.3146,0.062002,0.016789,0.001847,0.001201,0.000915,0.3146,0.0667,0.0196,0.0022,0.0017,0.0012,0.32,0.065,0.021,0.005,0.001,0.0002,N,N,,,0.001847,0.001847,0.001847,N
Texas A&M,10,South,0.4066,0.086655,0.018248,0.006027,0.002045,0.001795,0.4066,0.1,0.0244,0.0071,0.0025,0.002,0.41,0.082,0.028,0.007,0.002,0.0003,N,N,,,0.006027,0.006027,0.006027,N
Santa Clara,10,Midwest,0.4066,0.069256,0.061889,0.011197,0.003875,0.001595,0.4066,0.0769,0.0769,0.0132,0.005,0.002,0.31,0.058,0.018,0.004,0.001,0.0002,N,N,,,0.011197,0.011197,0.011197,N
Missouri,10,West,0.4573,0.072792,0.023623,0.006517,0.003238,0.001638,0.4573,0.0833,0.0323,0.0076,0.004,0.002,0.428,0.088,0.031,0.008,0.002,0.0003,N,N,,,0.006517,0.006517,0.006517,N
South Florida,11,East,0.3364,0.103274,0.040774,0.010329,0.003534,0.001907,0.3364,0.1111,0.0476,0.0123,0.005,0.0025,0.34,0.052,0.015,0.004,0.001,0.0002,N,N,,,0.010329,0.010329,0.010329,N
VCU,11,South,0.4365,0.101906,0.024157,0.005603,0.0027,0.001795,0.4365,0.1176,0.0323,0.0066,0.0033,0.002,0.31,0.048,0.014,0.003,0.001,0.0002,N,N,,,0.005603,0.005603,0.005603,N
M-OH/SMU,11,Midwest,0.2742,0.019543,0.007967,0.004665,0.0031,0.001595,0.2742,0.0217,0.0099,0.0055,0.004,0.002,0.358,0.055,0.017,0.005,0.001,0.0002,N,Y,,,0.004665,0.004665,0.004665,N
Texas,11,West,0.4279,0.124874,0.097491,0.012091,0.004048,0.002047,0.4279,0.1429,0.1333,0.0141,0.005,0.0025,0.379,0.061,0.021,0.006,0.002,0.0003,N,N,,,0.012091,0.012091,0.012091,N
Northern Iowa,12,East,0.175,0.071483,0.020901,0.003359,0.001979,0.000381,0.175,0.0769,0.0244,0.004,0.0028,0.0005,0.282,0.041,0.011,0.002,0.001,0.0001,Y,N,,,0.003359,0.003359,0.003359,N
McNeese,12,South,0.16,0.041248,0.014659,0.002801,0.002045,0.000897,0.16,0.0476,0.0196,0.0033,0.0025,0.001,0.295,0.043,0.012,0.003,0.001,0.0001,N,N,,,0.002801,0.002801,0.002801,N
Akron,12,Midwest,0.2591,0.042868,0.015774,0.001696,0.001085,0.000797,0.2591,0.0476,0.0196,0.002,0.0014,0.001,0.255,0.034,0.008,0.002,0.001,0.0001,N,N,,,0.001696,0.001696,0.001696,N
High Point,12,West,0.2,0.028226,0.011994,0.002144,0.001376,0.000409,0.2,0.0323,0.0164,0.0025,0.0017,0.0005,0.186,0.021,0.005,0.001,0.0005,0.0001,Y,N,,,0.002144,0.002144,0.002144,N
CA Baptist,13,East,0.113,0.040436,0.011307,0.00168,0.000707,0.000381,0.113,0.0435,0.0132,0.002,0.001,0.0005,0.179,0.018,0.004,0.001,0.0005,0.0001,Y,N,,,0.00168,0.00168,0.00168,N
Troy,13,South,0.1279,0.015511,0.011368,0.001698,0.000982,0.000449,0.1279,0.0179,0.0152,0.002,0.0012,0.0005,0.218,0.025,0.007,0.001,0.0005,0.0001,Y,N,,,0.001698,0.001698,0.001698,N
Hofstra,13,Midwest,0.1475,0.034673,0.014406,0.002121,0.001318,0.000399,0.1475,0.0385,0.0179,0.0025,0.0017,0.0005,0.205,0.023,0.006,0.001,0.0005,0.0001,Y,N,,,0.002121,0.002121,0.002121,N
Hawai'i,13,West,0.1011,0.014331,0.008484,0.001715,0.000972,0.000409,0.1011,0.0164,0.0116,0.002,0.0012,0.0005,0.195,0.022,0.005,0.001,0.0005,0.0001,Y,N,,,0.001715,0.001715,0.001715,N
N Dakota St,14,East,0.0876,0.018219,0.00848,0.00168,0.001413,0.000381,0.0876,0.0196,0.0099,0.002,0.002,0.0005,0.116,0.011,0.002,0.0005,0.0002,0.0001,Y,N,,,0.00168,0.00168,0.00168,N
Penn,14,South,0.0461,0.007799,0.003739,0.001188,0.000818,0.000628,0.0461,0.009,0.005,0.0014,0.001,0.0007,0.124,0.012,0.003,0.0005,0.0002,0.0001,N,N,,,0.001188,0.001188,0.001188,N
Wright St,14,Midwest,0.0689,0.008916,0.006116,0.001018,0.000775,0.000399,0.0689,0.0099,0.0076,0.0012,0.001,0.0005,0.147,0.014,0.004,0.0005,0.0002,0.0001,Y,N,,,0.001018,0.001018,0.001018,N
Kennesaw St,14,West,0.0643,0.007253,0.005193,0.001458,0.00081,0.000409,0.0643,0.0083,0.0071,0.0017,0.001,0.0005,0.124,0.012,0.003,0.0005,0.0002,0.0001,Y,N,,,0.001458,0.001458,0.001458,N
Furman,15,East,0.0537,0.007715,0.004968,0.001008,0.000707,0.000381,0.0537,0.0083,0.0058,0.0012,0.001,0.0005,0.059,0.005,0.001,0.0002,0.0001,5e-05,Y,N,,,0.001008,0.001008,0.001008,N
Idaho,15,South,0.0422,0.009532,0.003365,0.001443,0.000818,0.000449,0.0422,0.011,0.0045,0.0017,0.001,0.0005,0.055,0.004,0.001,0.0002,0.0001,5e-05,Y,N,,,0.001443,0.001443,0.001443,N
Tennessee St,15,Midwest,0.0422,0.002972,0.002656,0.001018,0.000775,0.000399,0.0422,0.0033,0.0033,0.0012,0.001,0.0005,0.074,0.007,0.001,0.0002,0.0001,5e-05,Y,N,,,0.001018,0.001018,0.001018,N
Queens,15,West,0.0422,0.004369,0.003291,0.001458,0.00081,0.000409,0.0422,0.005,0.0045,0.0017,0.001,0.0005,0.062,0.006,0.001,0.0002,0.0001,5e-05,Y,N,,,0.001458,0.001458,0.001458,N
Siena,16,East,0.0272,0.004648,0.002398,0.001008,0.000707,0.000381,0.0272,0.005,0.0028,0.0012,0.001,0.0005,0.018,0.001,0.0002,0.0001,5e-05,1e-05,Y,N,,,0.001008,0.001008,0.001008,N
PV/LEH,16,South,0.0463,0.001733,0.001496,0.001019,0.000818,0.000449,0.0463,0.002,0.002,0.0012,0.001,0.0005,0.025,0.002,0.0003,0.0001,5e-05,1e-05,Y,Y,,,0.001019,0.001019,0.001019,N
Howard,16,Midwest,0.0239,0.004503,0.002012,0.001442,0.000775,0.000399,0.0239,0.005,0.0025,0.0017,0.001,0.0005,0.022,0.001,0.0002,0.0001,5e-05,1e-05,Y,N,,,0.001442,0.001442,0.001442,N
Long Island,16,West,0.0192,0.002185,0.001463,0.000857,0.00081,0.000409,0.0192,0.0025,0.002,0.001,0.001,0.0005,0.02,0.001,0.0002,0.0001,5e-05,1e-05,Y,N,,,0.000857,0.000857,0.000857,N
