team_name,team_seed,region,historical_seed_winrate_r1,vegas_r1_prob,r1_deviation_from_historical,high_uncertainty_flag_r1,historical_advancement_rate_r3,historical_stdev_r3,vegas_prob_r3,implied_uncertainty_low_r3,implied_uncertainty_high_r3,historical_advancement_rate_r4,historical_stdev_r4,vegas_prob_r4,implied_uncertainty_low_r4,implied_uncertainty_high_r4,historical_advancement_rate_r5,historical_stdev_r5,vegas_prob_r5,implied_uncertainty_low_r5,implied_uncertainty_high_r5,historical_advancement_rate_r6,historical_stdev_r6,vegas_prob_r6,implied_uncertainty_low_r6,implied_uncertainty_high_r6
UCLA,7,East,0.6125,0.6854,+0.0729,N,0.0625,0.0191,0.1317,0.1126,0.1509,0.0187,0.0107,0.0365,0.0258,0.0473,0.0063,0.0062,0.0126,0.0064,0.0189,0.0063,0.0062,0.0042,0.0000,0.0104
Kentucky,7,Midwest,0.6125,0.5934,-0.0191,N,0.0625,0.0191,0.1238,0.1046,0.1429,0.0187,0.0107,0.0184,0.0077,0.0291,0.0063,0.0062,0.0085,0.0023,0.0148,0.0063,0.0062,0.0032,0.0000,0.0094
Ohio State,8,East,0.4813,0.5635,+0.0822,N,0.0563,0.0182,0.0714,0.0531,0.0896,0.0375,0.0150,0.0323,0.0173,0.0474,0.0250,0.0123,0.0116,0.0000,0.0239,0.0063,0.0062,0.0031,0.0000,0.0093
North Carolina,6,South,0.6125,0.5635,-0.0490,N,0.1062,0.0244,0.1069,0.0825,0.1312,0.0187,0.0107,0.0139,0.0032,0.0246,0.0125,0.0088,0.0045,0.0000,0.0133,0.0063,0.0062,0.0030,0.0000,0.0092
Saint Mary's,7,South,0.6125,0.5934,-0.0191,N,0.0625,0.0191,0.1626,0.1435,0.1817,0.0187,0.0107,0.0236,0.0129,0.0343,0.0063,0.0062,0.0108,0.0046,0.0170,0.0063,0.0062,0.0030,0.0000,0.0092
Iowa,9,South,0.5188,0.5514,+0.0326,N,0.0312,0.0138,0.0935,0.0797,0.1072,0.0125,0.0088,0.0184,0.0096,0.0272,0.0000,0.0000,0.0058,0.0058,0.0058,0.0000,0.0000,0.0030,0.0030,0.0030
BYU,6,West,0.6125,0.5721,-0.0404,N,0.1062,0.0244,0.1463,0.1219,0.1706,0.0187,0.0107,0.0141,0.0033,0.0248,0.0125,0.0088,0.0062,0.0000,0.0149,0.0063,0.0062,0.0023,0.0000,0.0085
Texas,11,West,0.3875,0.4279,+0.0404,N,0.0625,0.0191,0.0975,0.0784,0.1166,0.0375,0.0150,0.0121,0.0000,0.0271,0.0000,0.0000,0.0040,0.0040,0.0040,0.0000,0.0000,0.0020,0.0020,0.0020
South Florida,11,East,0.3875,0.3364,-0.0511,N,0.0625,0.0191,0.0408,0.0216,0.0599,0.0375,0.0150,0.0103,0.0000,0.0253,0.0000,0.0000,0.0035,0.0035,0.0035,0.0000,0.0000,0.0019,0.0019,0.0019
Clemson,8,South,0.4813,0.4486,-0.0327,N,0.0563,0.0182,0.0880,0.0697,0.1062,0.0375,0.0150,0.0129,0.0000,0.0279,0.0250,0.0123,0.0074,0.0000,0.0197,0.0063,0.0062,0.0018,0.0000,0.0080
