team_name,team_seed,region,r6,r6_low,r6_high,r6_path_alt,r6_path_low,r6_path_high,public_pct,public_pct_display,ownership_tier,conf_tier_r6,conf_type,floor_applied,path_dependent,data_source,ev_10,ev_low_10,ev_high_10,ev_path_alt_10,ev_25,ev_low_25,ev_high_25,ev_path_alt_25,ev_50,ev_low_50,ev_high_50,ev_path_alt_50,ev_100,ev_low_100,ev_high_100,ev_path_alt_100,ev_250,ev_low_250,ev_high_250,ev_path_alt_250,ev_500,ev_low_500,ev_high_500,ev_path_alt_500,ev_1000,ev_low_1000,ev_high_1000,ev_path_alt_1000,ev_5000,ev_low_5000,ev_high_5000,ev_path_alt_5000
Gonzaga,3,West,0.013429,0.0011,0.0258,0.0263903831715357,0.013429,0.0263903831715357,0.017493,1.7493,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.131941,0.010808,0.253487,0.259287,0.329852,0.027019,0.633717,0.648218,0.659704,0.054038,1.267434,1.296437,1.319409,0.108076,2.534868,2.592874,3.298522,0.270189,6.337170,6.482184,6.597043,0.540379,12.674340,12.964368,13.194087,1.080758,25.348681,25.928736,65.970433,5.403789,126.743403,129.643681
Kansas,4,East,0.012511,0.0037,0.0213,0.012511,0.012511,0.012511,0.010915999999999999,1.0916,LOW_OWN,HIGH,NA,N,N,odds-proportional estimate,0.123744,0.036596,0.210675,0.123744,0.309361,0.091490,0.526687,0.309361,0.618721,0.182981,1.053374,0.618721,1.237443,0.365961,2.106749,1.237443,3.093607,0.914903,5.266872,3.093607,6.187215,1.829805,10.533745,6.187215,12.374430,3.659611,21.067489,12.374430,61.872150,18.298054,105.337446,61.872150
Vanderbilt,5,South,0.011845,0.0118,0.0118,0.011845,0.011845,0.011845,0.007896,0.7896,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.117515,0.117068,0.117068,0.117515,0.293787,0.292671,0.292671,0.293787,0.587574,0.585341,0.585341,0.587574,1.175147,1.170683,1.170683,1.175147,2.937868,2.926707,2.926707,2.937868,5.875736,5.853414,5.853414,5.875736,11.751472,11.706827,11.706827,11.751472,58.757359,58.534136,58.534136,58.757359
Virginia,3,Midwest,0.010526,0.0,0.0229,0.024999054424224405,0.010526,0.024999054424224405,0.010915999999999999,1.0916,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.104111,0.000000,0.226500,0.247262,0.260277,0.000000,0.566251,0.618154,0.520555,0.000000,1.132501,1.236308,1.041110,0.000000,2.265002,2.472616,2.602775,0.000000,5.662506,6.181541,5.205549,0.000000,11.325012,12.363082,10.411098,0.000000,22.650024,24.726165,52.055491,0.000000,113.250118,123.630824
St John's,5,East,0.01007,0.0101,0.0101,0.01007,0.01007,0.01007,0.012718,1.2718,LOW_OWN,HIGH,NA,N,N,odds-proportional estimate,0.099419,0.099715,0.099715,0.099419,0.248548,0.249289,0.249289,0.248548,0.497096,0.498577,0.498577,0.497096,0.994193,0.997155,0.997155,0.994193,2.485482,2.492887,2.492887,2.485482,4.970965,4.985774,4.985774,4.970965,9.941930,9.971548,9.971548,9.941930,49.709649,49.857741,49.857741,49.709649
Wisconsin,5,West,0.008107,0.0081,0.0081,0.008107,0.008107,0.008107,0.0067659999999999994,0.6766,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.080521,0.080452,0.080452,0.080521,0.201304,0.201130,0.201130,0.201304,0.402607,0.402260,0.402260,0.402607,0.805215,0.804520,0.804520,0.805215,2.013037,2.011299,2.011299,2.013037,4.026074,4.022598,4.022598,4.026074,8.052148,8.045195,8.045195,8.052148,40.260740,40.225977,40.225977,40.260740
Nebraska,4,South,0.007448,0.0,0.0162,0.007448,0.007448,0.007448,0.005106,0.5106,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.074100,0.000000,0.161173,0.074100,0.185249,0.000000,0.402932,0.185249,0.370499,0.000000,0.805864,0.370499,0.740997,0.000000,1.611728,0.740997,1.852493,0.000000,4.029321,1.852493,3.704985,0.000000,8.058641,3.704985,7.409971,0.000000,16.117283,7.409971,37.049853,0.000000,80.586414,37.049853
Texas Tech,5,Midwest,0.006061,0.0061,0.0061,0.006061,0.006061,0.006061,0.0067659999999999994,0.6766,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.060200,0.060587,0.060587,0.060200,0.150500,0.151468,0.151468,0.150500,0.301000,0.302936,0.302936,0.301000,0.601999,0.605873,0.605873,0.601999,1.504998,1.514682,1.514682,1.504998,3.009996,3.029364,3.029364,3.009996,6.019991,6.058727,6.058727,6.019991,30.099956,30.293637,30.293637,30.099956
Tennessee,6,Midwest,0.006061,0.0,0.0123,0.014416812158451373,0.006061,0.014416812158451373,0.010915999999999999,1.0916,LOW_OWN,HIGH,NA,N,Y,odds-proportional estimate,0.059948,0.000000,0.121657,0.142594,0.149871,0.000000,0.304143,0.356486,0.299742,0.000000,0.608287,0.712972,0.599484,0.000000,1.216573,1.425944,1.498710,0.000000,3.041433,3.564860,2.997419,0.000000,6.082867,7.129719,5.994838,0.000000,12.165733,14.259438,29.974191,0.000000,60.828666,71.297191
Louisville,6,East,0.005035,0.0,0.0113,0.005035,0.005035,0.005035,0.00963,0.963,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.049865,0.000000,0.111912,0.049865,0.124663,0.000000,0.279780,0.124663,0.249326,0.000000,0.559559,0.249326,0.498651,0.000000,1.119118,0.498651,1.246628,0.000000,2.797795,1.246628,2.493256,0.000000,5.595590,2.493256,4.986513,0.000000,11.191181,4.986513,24.932565,0.000000,55.955905,24.932565
Alabama,4,Midwest,0.004386,0.0,0.0132,0.004386,0.004386,0.004386,0.012718,1.2718,LOW_OWN,HIGH,NA,N,N,odds-proportional estimate,0.043302,0.000000,0.130321,0.043302,0.108255,0.000000,0.325803,0.108255,0.216511,0.000000,0.651606,0.216511,0.433022,0.000000,1.303212,0.433022,1.082555,0.000000,3.258031,1.082555,2.165109,0.000000,6.516061,2.165109,4.330219,0.000000,13.032122,4.330219,21.651094,0.000000,65.160612,21.651094
UCLA,7,East,0.004196,0.0,0.0104,0.004196,0.004196,0.004196,0.005961999999999999,0.5962,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.041710,0.000000,0.103380,0.041710,0.104275,0.000000,0.258450,0.104275,0.208549,0.000000,0.516900,0.208549,0.417098,0.000000,1.033800,0.417098,1.042746,0.000000,2.584499,1.042746,2.085492,0.000000,5.168998,2.085492,4.170983,0.000000,10.337995,4.170983,20.854917,0.000000,51.689976,20.854917
Kentucky,7,Midwest,0.00319,0.0,0.0094,0.00319,0.00319,0.00319,0.007896,0.7896,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.031648,0.000000,0.093258,0.031648,0.079120,0.000000,0.233144,0.079120,0.158241,0.000000,0.466289,0.158241,0.316481,0.000000,0.932578,0.316481,0.791203,0.000000,2.331444,0.791203,1.582406,0.000000,4.662889,1.582406,3.164812,0.000000,9.325778,3.164812,15.824059,0.000000,46.628888,15.824059
Ohio State,8,East,0.003052,0.0,0.0093,0.003052,0.003052,0.003052,0.005106,0.5106,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.030364,0.000000,0.092525,0.030364,0.075910,0.000000,0.231313,0.075910,0.151821,0.000000,0.462626,0.151821,0.303642,0.000000,0.925251,0.303642,0.759104,0.000000,2.313129,0.759104,1.518208,0.000000,4.626257,1.518208,3.036416,0.000000,9.252514,3.036416,15.182082,0.000000,46.262571,15.182082
Iowa,9,South,0.002961,0.003,0.003,0.002961,0.002961,0.002961,0.002906,0.2906,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.029524,0.029913,0.029913,0.029524,0.073810,0.074782,0.074782,0.073810,0.147620,0.149564,0.149564,0.147620,0.295240,0.299128,0.299128,0.295240,0.738099,0.747820,0.747820,0.738099,1.476198,1.495641,1.495641,1.476198,2.952395,2.991282,2.991282,2.952395,14.761977,14.956410,14.956410,14.761977
Saint Mary's,7,South,0.002961,0.0,0.0092,0.002961,0.002961,0.002961,0.0041789999999999996,0.4179,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.029486,0.000000,0.091616,0.029486,0.073716,0.000000,0.229039,0.073716,0.147431,0.000000,0.458078,0.147431,0.294863,0.000000,0.916155,0.294863,0.737156,0.000000,2.290388,0.737156,1.474313,0.000000,4.580777,1.474313,2.948626,0.000000,9.161553,2.948626,14.743130,0.000000,45.807766,14.743130
North Carolina,6,South,0.002961,0.0,0.0092,0.002961,0.002961,0.002961,0.005961999999999999,0.5962,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.029433,0.000000,0.091451,0.029433,0.073584,0.000000,0.228629,0.073584,0.147167,0.000000,0.457257,0.147167,0.294335,0.000000,0.914515,0.294335,0.735837,0.000000,2.286287,0.735837,1.471673,0.000000,4.572575,1.471673,2.943347,0.000000,9.145150,2.943347,14.716733,0.000000,45.725748,14.716733
BYU,6,West,0.002293,0.0,0.0085,0.002293,0.002293,0.002293,0.005106,0.5106,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.022813,0.000000,0.084566,0.022813,0.057032,0.000000,0.211415,0.057032,0.114065,0.000000,0.422830,0.114065,0.228129,0.000000,0.845660,0.228129,0.570323,0.000000,2.114150,0.570323,1.140646,0.000000,4.228300,1.140646,2.281292,0.000000,8.456599,2.281292,11.406460,0.000000,42.282995,11.406460
Texas,11,West,0.002047,0.002,0.002,0.002047,0.002047,0.002047,0.002245,0.2245,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.020424,0.019955,0.019955,0.020424,0.051060,0.049888,0.049888,0.051060,0.102120,0.099775,0.099775,0.102120,0.204240,0.199551,0.199551,0.204240,0.510601,0.498878,0.498878,0.510601,1.021202,0.997755,0.997755,1.021202,2.042404,1.995510,1.995510,2.042404,10.212022,9.977550,9.977550,10.212022
South Florida,11,East,0.001907,0.0019,0.0019,0.001907,0.001907,0.001907,0.0021360000000000003,0.2136,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.019029,0.018959,0.018959,0.019029,0.047573,0.047399,0.047399,0.047573,0.095146,0.094797,0.094797,0.095146,0.190293,0.189594,0.189594,0.190293,0.475732,0.473985,0.473985,0.475732,0.951463,0.947971,0.947971,0.951463,1.902927,1.895942,1.895942,1.902927,9.514633,9.479708,9.479708,9.514633
Texas A&M,10,South,0.001795,0.0018,0.0018,0.001795,0.001795,0.001795,0.0020469999999999998,0.2047,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.017913,0.017963,0.017963,0.017913,0.044783,0.044908,0.044908,0.044783,0.089566,0.089816,0.089816,0.089566,0.179133,0.179632,0.179632,0.179133,0.447831,0.449079,0.449079,0.447831,0.895663,0.898158,0.898158,0.895663,1.791326,1.796315,1.796315,1.791326,8.956628,8.981577,8.981577,8.956628
VCU,11,South,0.001795,0.0018,0.0018,0.001795,0.001795,0.001795,0.0020469999999999998,0.2047,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.017913,0.017963,0.017963,0.017913,0.044783,0.044908,0.044908,0.044783,0.089566,0.089816,0.089816,0.089566,0.179133,0.179632,0.179632,0.179133,0.447831,0.449079,0.449079,0.447831,0.895663,0.898158,0.898158,0.895663,1.791326,1.796315,1.796315,1.791326,8.956628,8.981577,8.981577,8.956628
Clemson,8,South,0.001795,0.0,0.008,0.001795,0.001795,0.001795,0.0041789999999999996,0.4179,NEAR_ZERO,HIGH,NA,N,N,odds-proportional estimate,0.017875,0.000000,0.079666,0.017875,0.044687,0.000000,0.199164,0.044687,0.089375,0.000000,0.398328,0.089375,0.178750,0.000000,0.796657,0.178750,0.446875,0.000000,1.991642,0.446875,0.893749,0.000000,3.983284,0.893749,1.787499,0.000000,7.966568,1.787499,8.937493,0.000000,39.832840,8.937493
Villanova,8,West,0.001638,0.0,0.0079,0.001638,0.001638,0.001638,0.00192,0.192,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.016349,0.000000,0.078848,0.016349,0.040871,0.000000,0.197121,0.040871,0.081743,0.000000,0.394242,0.081743,0.163486,0.000000,0.788483,0.163486,0.408714,0.000000,1.971208,0.408714,0.817428,0.000000,3.942416,0.817428,1.634855,0.000000,7.884832,1.634855,8.174275,0.000000,39.424160,8.174275
Utah State,9,West,0.001638,0.0016,0.0016,0.001638,0.001638,0.001638,0.00192,0.192,NEAR_ZERO,HIGH,NA,N,N,r6-proportional estimate,0.016349,0.015969,0.015969,0.016349,0.040871,0.039923,0.039923,0.040871,0.081743,0.079846,0.079846,0.081743,0.163486,0.159693,0.159693,0.163486,0.408714,0.399232,0.399232,0.408714,0.817428,0.798464,0.798464,0.817428,1.634855,1.596928,1.596928,1.634855,8.174275,7.984640,7.984640,8.174275
