team_name,team_seed,region,round,vegas_prob,public_pick_pct,leverage,leverage_ratio,round_weighted_leverage,high_signal_flag,zero_ownership_flag,sign_flip_flag,prop_norm_caution_flag
Georgia,8,Midwest,r1,0.5721,0.58,-0.0079,0.9864,-0.079,N,N,,N
Georgia,8,Midwest,r2,0.150129,0.174,-0.023871,0.8628,-0.4774,N,N,,N
Georgia,8,Midwest,r3,0.08048,0.065,0.01548,1.2382,0.6192,N,N,,N
Georgia,8,Midwest,r4,0.012893,0.019,-0.006107,0.6786,-0.4886,N,N,N,N
Georgia,8,Midwest,r5,0.003875,0.006,-0.002125,0.6458,-0.34,N,N,,Y
Georgia,8,Midwest,r6,0.001595,0.001,0.000595,1.595,0.1904,N,N,,Y
Clemson,8,South,r1,0.4486,0.515,-0.0664,0.8711,-0.664,N,N,,N
Clemson,8,South,r2,0.144454,0.148,-0.003546,0.976,-0.0709,N,N,,N
Clemson,8,South,r3,0.087952,0.055,0.032952,1.5991,1.3181,N,N,,N
Clemson,8,South,r4,0.012903,0.015,-0.002097,0.8602,-0.1678,N,N,N,N
Clemson,8,South,r5,0.007363,0.004,0.003363,1.8407,0.5381,N,N,,Y
Clemson,8,South,r6,0.001795,0.001,0.000795,1.795,0.2544,N,N,,Y
Villanova,8,West,r1,0.4675,0.531,-0.0635,0.8804,-0.635,N,N,,N
Villanova,8,West,r2,0.145672,0.161,-0.015328,0.9048,-0.3066,N,N,,N
Villanova,8,West,r3,0.069626,0.062,0.007626,1.123,0.305,N,N,,N
Villanova,8,West,r4,0.011319,0.018,-0.006681,0.6288,-0.5345,N,N,N,N
Villanova,8,West,r5,0.004453,0.006,-0.001547,0.7422,-0.2475,N,N,,Y
Villanova,8,West,r6,0.001638,0.001,0.000638,1.638,0.2042,N,N,,Y
TCU,9,East,r1,0.4365,0.476,-0.0395,0.917,-0.395,N,N,,N
TCU,9,East,r2,0.054658,0.121,-0.066342,0.4517,-1.3268,N,N,,N
TCU,9,East,r3,0.023814,0.042,-0.018186,0.567,-0.7274,N,N,,N
TCU,9,East,r4,0.006382,0.011,-0.004618,0.5802,-0.3694,N,N,N,N
TCU,9,East,r5,0.001979,0.003,-0.001021,0.6597,-0.1634,N,N,,Y
TCU,9,East,r6,0.001526,0.0005,0.001026,3.052,0.3283,N,N,,Y
Saint Louis,9,Midwest,r1,0.4279,0.42,0.0079,1.0188,0.079,N,N,,N
Saint Louis,9,Midwest,r2,0.056287,0.095,-0.038713,0.5925,-0.7743,N,N,,N
Saint Louis,9,Midwest,r3,0.025995,0.031,-0.005005,0.8385,-0.2002,N,N,,N
Saint Louis,9,Midwest,r4,0.00492,0.008,-0.00308,0.615,-0.2464,N,N,N,N
Saint Louis,9,Midwest,r5,0.002558,0.002,0.000558,1.279,0.0893,N,N,,Y
Saint Louis,9,Midwest,r6,0.000957,0.0004,0.000557,2.3925,0.1782,N,N,,Y
Iowa,9,South,r1,0.5514,0.485,0.0664,1.1369,0.664,N,N,,N
Iowa,9,South,r2,0.157539,0.128,0.029539,1.2308,0.5908,N,N,,N
Iowa,9,South,r3,0.093486,0.045,0.048486,2.0775,1.9394,N,N,,N
Iowa,9,South,r4,0.018421,0.012,0.006421,1.5351,0.5137,N,N,N,N
Iowa,9,South,r5,0.005808,0.003,0.002808,1.936,0.4493,N,N,,Y
Iowa,9,South,r6,0.002961,0.0005,0.002461,5.922,0.7875,N,N,,Y
Utah State,9,West,r1,0.5325,0.469,0.0635,1.1354,0.635,N,N,,N
Utah State,9,West,r2,0.174772,0.115,0.059772,1.5198,1.1954,N,N,,N
Utah State,9,West,r3,0.066481,0.038,0.028481,1.7495,1.1392,N,N,,N
Utah State,9,West,r4,0.009432,0.01,-0.000568,0.9432,-0.0454,N,N,N,N
Utah State,9,West,r5,0.004048,0.002,0.002048,2.024,0.3277,N,N,,Y
Utah State,9,West,r6,0.001638,0.0004,0.001238,4.095,0.3962,N,N,,Y
UCF,10,East,r1,0.3146,0.32,-0.0054,0.9831,-0.054,N,N,,N
UCF,10,East,r2,0.062002,0.065,-0.002998,0.9539,-0.06,N,N,,N
UCF,10,East,r3,0.016789,0.021,-0.004211,0.7995,-0.1684,N,N,,N
UCF,10,East,r4,0.001847,0.005,-0.003153,0.3694,-0.2522,N,N,N,N
UCF,10,East,r5,0.001201,0.001,0.000201,1.201,0.0322,N,N,,Y
UCF,10,East,r6,0.000915,0.0002,0.000715,4.575,0.2288,N,N,,Y
Texas A&M,10,South,r1,0.4066,0.41,-0.0034,0.9917,-0.034,N,N,,N
Texas A&M,10,South,r2,0.086655,0.082,0.004655,1.0568,0.0931,N,N,,N
Texas A&M,10,South,r3,0.018248,0.028,-0.009752,0.6517,-0.3901,N,N,,N
Texas A&M,10,South,r4,0.006027,0.007,-0.000973,0.861,-0.0778,N,N,N,N
Texas A&M,10,South,r5,0.002045,0.002,4.5e-05,1.0225,0.0072,N,N,,Y
Texas A&M,10,South,r6,0.001795,0.0003,0.001495,5.9833,0.4784,N,N,,Y
Santa Clara,10,Midwest,r1,0.4066,0.31,0.0966,1.3116,0.966,N,N,,N
Santa Clara,10,Midwest,r2,0.069256,0.058,0.011256,1.1941,0.2251,N,N,,N
Santa Clara,10,Midwest,r3,0.061889,0.018,0.043889,3.4383,1.7556,N,N,,N
Santa Clara,10,Midwest,r4,0.011197,0.004,0.007197,2.7993,0.5758,N,N,N,N
Santa Clara,10,Midwest,r5,0.003875,0.001,0.002875,3.875,0.46,N,N,,Y
Santa Clara,10,Midwest,r6,0.001595,0.0002,0.001395,7.975,0.4464,N,N,,Y
Missouri,10,West,r1,0.4573,0.428,0.0293,1.0685,0.293,N,N,,N
Missouri,10,West,r2,0.072792,0.088,-0.015208,0.8272,-0.3042,N,N,,N
Missouri,10,West,r3,0.023623,0.031,-0.007377,0.762,-0.2951,N,N,,N
Missouri,10,West,r4,0.006517,0.008,-0.001483,0.8146,-0.1186,N,N,N,N
Missouri,10,West,r5,0.003238,0.002,0.001238,1.619,0.1981,N,N,,Y
Missouri,10,West,r6,0.001638,0.0003,0.001338,5.46,0.4282,N,N,,Y
South Florida,11,East,r1,0.3364,0.34,-0.0036,0.9894,-0.036,N,N,,N
South Florida,11,East,r2,0.103274,0.052,0.051274,1.986,1.0255,N,N,,N
South Florida,11,East,r3,0.040774,0.015,0.025774,2.7183,1.031,N,N,,N
South Florida,11,East,r4,0.010329,0.004,0.006329,2.5822,0.5063,N,N,N,N
South Florida,11,East,r5,0.003534,0.001,0.002534,3.534,0.4054,N,N,,Y
South Florida,11,East,r6,0.001907,0.0002,0.001707,9.535,0.5462,N,N,,Y
VCU,11,South,r1,0.4365,0.31,0.1265,1.4081,1.265,Y,N,,N
VCU,11,South,r2,0.101906,0.048,0.053906,2.123,1.0781,N,N,,N
